City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,77.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
3,Las Vegas,US,87.8,clear sky,36.175,-115.1372,Plaza Hotel & Casino
10,Mahebourg,MU,77.0,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
14,San Lorenzo,PY,78.01,clear sky,-25.3333,-57.5333,Hotel del Sur
16,Avarua,CK,84.2,broken clouds,-21.2078,-159.775,Paradise Inn
17,Port Lincoln,AU,75.88,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
18,Cabo San Lucas,MX,82.4,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
20,Dancalan,PH,80.62,overcast clouds,9.9821,122.7386,Balai ni Mente
21,Rikitea,PF,77.02,clear sky,-23.1203,-134.9692,Pension Maro'i
23,Denpasar,ID,80.6,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
24,Georgetown,MY,79.0,few clouds,5.4112,100.3354,Cititel Penang
25,Hilo,US,78.8,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
29,Taoudenni,ML,84.07,clear sky,22.6783,-3.9836,
42,Bengkulu,ID,75.06,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
44,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
47,Kavieng,PG,78.01,heavy intensity rain,-2.5744,150.7967,Nusa Island Retreat
50,Flinders,AU,75.99,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
52,Soyo,AO,80.02,overcast clouds,-6.1349,12.3689,Hotel Mpampa
53,Martapura,ID,78.8,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
55,Noumea,NC,87.01,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
56,Sabha,LY,75.97,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
58,Areia Branca,BR,82.26,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
61,Tual,ID,82.94,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
64,Belmonte,BR,75.2,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
67,Tahoua,NE,84.2,clear sky,14.8888,5.2692,Bungalows Guesthouse
70,Hithadhoo,MV,82.33,broken clouds,-0.6,73.0833,Scoop Guest House
71,Butaritari,KI,81.75,few clouds,3.0707,172.7902,Isles Sunset Lodge
72,Manoel Urbano,BR,76.89,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
75,Bandarbeyla,SO,75.6,few clouds,9.4942,50.8122,JABIR HOTEL
82,Harper,LR,80.1,light rain,4.375,-7.7169,Screensaver
83,Sao Filipe,CV,75.22,scattered clouds,14.8961,-24.4956,Tortuga B&B
84,Batticaloa,LK,76.19,overcast clouds,7.7102,81.6924,Grand Star Guest House
85,Hervey Bay,AU,79.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
88,Bambous Virieux,MU,80.01,light rain,-20.3428,57.7575,Casa Tia Villa
90,Broken Hill,AU,77.0,clear sky,-31.95,141.4333,Royal Exchange Hotel
92,Sabang,ID,82.17,overcast clouds,5.8933,95.3214,Hotel Citra
100,Kpandu,GH,79.43,scattered clouds,6.9954,0.2931,Emo House
105,Dinguiraye,GN,79.92,overcast clouds,11.3,-10.7167,
111,Telimele,GN,75.09,overcast clouds,10.9167,-13.3333,
113,Isangel,VU,86.0,scattered clouds,-19.55,169.2667,Volcano Sea View Tree House
115,Lorengau,PG,81.37,heavy intensity rain,-2.0226,147.2712,Lorengau Harbourside Hotel
116,Vaini,TO,80.6,few clouds,-21.2,-175.2,Keleti Beach Resort
119,Mayumba,GA,78.69,broken clouds,-3.432,10.6554,LIKWALE LODGE
120,Ambon,ID,84.2,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
121,Atuona,PF,80.76,few clouds,-9.8,-139.0333,Villa Enata
122,San Patricio,US,80.01,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
127,Loreto,MX,80.06,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
129,Santa Cruz,BO,80.6,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
130,Moerai,PF,78.4,overcast clouds,-22.4333,-151.3333,Le Manotel
131,Wilmington,US,75.2,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
132,Namibe,AO,78.64,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
140,Balabac,PH,81.9,light rain,7.9868,117.0645,Sing and Swing Lodge
141,Codajas,BR,76.71,overcast clouds,-3.8367,-62.0569,Hotel Tamires
142,Vanimo,PG,77.74,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
144,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
145,Redcliffe,AU,78.01,few clouds,-27.2307,153.0973,Redvue Apartments
147,Carnarvon,AU,77.0,few clouds,-24.8667,113.6333,Hospitality Carnarvon
155,Camocim,BR,77.5,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
157,Popondetta,PG,85.87,light rain,-8.7537,148.2534,Timos Transit House
158,Lazaro Cardenas,MX,81.28,clear sky,17.9583,-102.2,Hotel Quinta Antigua
160,Thinadhoo,MV,82.11,overcast clouds,0.5333,72.9333,
161,Alice,US,87.8,clear sky,27.7523,-98.0697,Holiday Inn Express & Suites Alice
162,Altamira,BR,76.93,broken clouds,-3.2033,-52.2064,Requinte Hotel
166,Buala,SB,82.38,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
169,Hopkinsville,US,77.0,clear sky,36.8656,-87.4886,Hampton Inn & Suites Hopkinsville
172,Faanui,PF,81.55,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
173,Labuhan,ID,79.79,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
178,Pinar Del Rio,CU,76.6,broken clouds,22.4175,-83.6981,Hostal La Colina Dunay y Raul
179,Port-Gentil,GA,82.4,light rain,-0.7193,8.7815,Fengshui Residence
180,Long,TH,80.01,few clouds,18.0761,99.8326,Nopphakoe Homestay
181,Banjarmasin,ID,78.8,scattered clouds,-3.3244,114.59100000000001,Swiss-Belhotel Borneo Banjarmasin
182,Cururupu,BR,77.59,broken clouds,-1.8283,-44.8683,Pousada Través'cia
189,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
191,Pochutla,MX,89.01,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
194,Koumac,NC,83.59,broken clouds,-20.5667,164.2833,Le Monitel
195,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
198,Vieques,PR,78.8,scattered clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
200,Ugoofaaru,MV,82.24,broken clouds,5.6667,73.0,Ungoofaaru Inn
202,Port Blair,IN,80.26,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
204,Hamilton,US,75.2,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
206,Waingapu,ID,79.92,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
209,Ipixuna,BR,78.8,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
214,Indramayu,ID,80.13,overcast clouds,-6.3264,108.32,Grand Trisula Hotel
218,West Bay,KY,79.0,scattered clouds,19.3667,-81.4167,Calypso Cove
220,Vermilion,US,75.2,overcast clouds,40.1667,-87.7506,
229,Cairns,AU,86.0,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
230,Salto,UY,77.0,clear sky,-31.3833,-57.9667,Gran Hotel Uruguay
232,Grand Gaube,MU,80.01,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
233,Yulara,AU,77.0,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
244,Saint George,US,81.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
245,Kununurra,AU,86.0,overcast clouds,-15.7667,128.7333,Hotel Kununurra
246,Kudahuvadhoo,MV,82.0,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
250,Meulaboh,ID,75.51,broken clouds,4.1363,96.1285,Kost Pria
251,San Andres,CO,82.4,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
258,Poum,NC,80.2,broken clouds,-20.2333,164.0167,Gîte kajeon
261,Porbandar,IN,77.86,clear sky,21.6422,69.6093,Lords Inn Porbandar
262,Padang,ID,75.2,scattered clouds,-0.9492,100.3543,Mercure Padang
265,Pundaguitan,PH,81.63,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
268,Sola,VU,89.6,scattered clouds,-13.8833,167.55,Leumerus Bungalows
269,Nilanga,IN,89.04,overcast clouds,18.1,76.7667,जाधव
272,Bac Lieu,VN,81.5,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
274,Mangrol,IN,77.76,clear sky,21.1167,70.1167,Hotel The Royal Honours
275,Luganville,VU,84.29,broken clouds,-15.5333,167.1667,The Espiritu Hotel
276,Manta,EC,82.4,broken clouds,-0.95,-80.7333,Balandra Hotel
278,Floriano,BR,83.32,overcast clouds,-6.7669,-43.0225,Hotel Maktub
279,Namatanai,PG,79.36,moderate rain,-3.6667,152.4333,Namatanai Hotel
281,San Julian,MX,81.09,clear sky,21.0167,-102.1667,La Nueva España
283,Acaponeta,MX,85.62,clear sky,22.4964,-105.3594,Hotel Casa Blanca
284,Dingle,PH,80.44,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
285,Ixtapa,MX,77.0,broken clouds,20.7,-105.2,Hotel Plaza Providencia
286,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
291,Mayor Pablo Lagerenza,PY,80.06,overcast clouds,-19.9309,-60.7718,
295,Meteti,PA,77.11,overcast clouds,8.4983,-77.9786,Txai Mauá
296,Kavaratti,IN,83.43,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
299,Monteagudo,BO,78.8,scattered clouds,-19.8167,-63.9833,"Residencial ""OLIVIA"""
302,Honiara,SB,82.36,overcast clouds,-9.4333,159.95,Heritage Park Hotel
307,Valentin Gomez Farias,MX,75.99,overcast clouds,28.2167,-106.5833,
310,Nagua,DO,75.2,broken clouds,19.3832,-69.8474,Hotel Cambri
316,Malanville,BJ,88.84,few clouds,11.8685,3.3899,DEVO HOTEL
320,Galveston,US,75.0,mist,29.3669,-94.9669,Comfort Inn & Suites Texas City
322,Haikou,CN,77.0,clear sky,20.0458,110.3417,Sun City Restaurant
327,Acapulco,MX,82.4,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
329,Boa Vista,BR,82.4,light rain,2.8197,-60.6733,Aipana Plaza Hotel
330,Daru,PG,78.17,overcast clouds,-9.0763,143.2092,Daru Lodge
332,Amahai,ID,82.47,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
342,Pathein,MM,76.62,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
348,Russell,US,75.2,clear sky,32.3502,-85.1999,Macs
357,Mlonggo,ID,78.8,haze,-6.5333,110.7,Asia Metal Art
366,Gamba,GA,78.57,broken clouds,-2.65,10.0,
370,Aswan,EG,76.57,clear sky,24.0934,32.907,Nuba Nile
372,Santiago Del Estero,AR,82.8,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
373,Pemangkat,ID,78.55,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
374,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
375,Corowa,AU,75.99,few clouds,-36.0333,146.3833,Statesman Motor Inn
379,Karratha,AU,83.23,clear sky,-20.7377,116.8463,ibis Styles Karratha
381,Dondo,MZ,77.0,few clouds,-19.6094,34.7431,Arco Iris
382,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
387,Biak,ID,77.54,moderate rain,-0.9131,122.8766,Penginapan Kim
389,Kimbe,PG,77.74,heavy intensity rain,-5.5502,150.1429,Kimbe Bay Hotel
390,Puerto Escondido,MX,84.2,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
391,Puerto Palomas,MX,80.6,clear sky,31.7667,-107.6167,Hotel San Carlos
394,Garissa,KE,76.66,moderate rain,-0.4536,39.6401,Sharif Plaza Hotel
397,Naliya,IN,76.89,clear sky,23.2667,68.8333,Hotel Panchvati
399,Sabancuy,MX,82.06,broken clouds,18.9667,-91.1833,pulpo
402,Nioro,GM,79.45,scattered clouds,13.35,-15.75,
406,Goure,NE,79.81,broken clouds,13.9835,10.2704,
410,Vao,NC,76.51,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
411,Arlit,NE,83.01,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
413,Totness,SR,76.69,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
416,Saint-Pierre,RE,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
418,Necochea,AR,75.0,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
420,San Cristobal,VE,80.6,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
421,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
422,Atar,MR,80.04,few clouds,20.5169,-13.0499,Oumou Elghoura
425,Long Xuyen,VN,78.8,few clouds,10.3833,105.4167,Nhà Nghỉ Sài Gòn Ngày Đêm
426,Tomohon,ID,84.2,few clouds,1.3346,124.8392,Gardenia Country Inn
434,Vung Tau,VN,81.16,overcast clouds,10.345999999999998,107.0843,Green hotel
437,San Carlos,VE,80.74,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
439,Kanniyakumari,IN,79.36,scattered clouds,8.0833,77.5667,Sparsa
443,Diapaga,BF,89.11,few clouds,12.0708,1.7889,
445,Steubenville,US,75.2,few clouds,40.3698,-80.634,Hampton Inn Steubenville
446,Sorong,ID,81.66,overcast clouds,-0.8833,131.25,waigo splash hotel
447,Jurado,CO,78.26,light rain,7.1053,-77.7641,
449,Sechura,PE,77.09,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
454,Adrar,MR,77.67,clear sky,20.5022,-10.0711,
455,Bambanglipuro,ID,77.65,overcast clouds,-7.95,110.2833,Puri Brata
460,Paka,MY,77.0,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA
463,Sao Desiderio,BR,76.19,broken clouds,-12.3633,-44.9733,Meu cantinho
467,Kilindoni,TZ,79.3,moderate rain,-7.9139,39.6668,Bustani B&B
469,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
472,Say,NE,87.8,clear sky,13.1007,2.3689,
473,Port Hedland,AU,84.2,broken clouds,-20.3167,118.5667,The Esplanade Hotel
475,Bubaque,GW,77.83,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
480,Celestun,MX,78.89,overcast clouds,20.8667,-90.4,Posada Lilia
