City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,-0.7393,-90.3518,77.0,92,59,1.99,broken clouds
1,Ushuaia,AR,-54.8,-68.3,46.4,87,40,3.33,scattered clouds
2,Mataura,NZ,-46.1927,168.8643,63.0,68,32,7.0,scattered clouds
3,Las Vegas,US,36.175,-115.1372,87.8,6,1,10.36,clear sky
4,Ilulissat,GL,69.2167,-51.1,12.2,67,75,4.61,broken clouds
5,San Quintin,MX,30.4833,-115.95,67.05,64,43,17.38,scattered clouds
6,Bredasdorp,ZA,-34.5322,20.0403,55.4,94,55,1.14,broken clouds
7,Surt,LY,31.2089,16.5887,64.69,57,98,12.93,overcast clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,-4.0,71,20,6.91,few clouds
9,Nome,US,64.5011,-165.4064,8.6,52,1,9.22,clear sky
10,Mahebourg,MU,-20.4081,57.7,77.0,88,75,12.66,light rain
11,Esperance,AU,-33.8667,121.9,62.6,94,90,5.75,overcast clouds
12,Clyde River,CA,70.4692,-68.5914,8.6,92,90,4.61,light snow
13,Luderitz,NA,-26.6481,15.1594,68.34,56,8,9.8,clear sky
14,San Lorenzo,PY,-25.3333,-57.5333,78.01,83,0,4.61,clear sky
15,Henties Bay,NA,-22.116,14.2845,63.27,80,1,6.08,clear sky
16,Avarua,CK,-21.2078,-159.775,84.2,65,75,9.22,broken clouds
17,Port Lincoln,AU,-34.7333,135.8667,75.88,32,100,11.63,overcast clouds
18,Cabo San Lucas,MX,22.8909,-109.9124,82.4,36,40,10.36,scattered clouds
19,Malanje,AO,-9.5402,16.341,64.29,94,100,3.0,overcast clouds
20,Dancalan,PH,9.9821,122.7386,80.62,66,100,1.97,overcast clouds
21,Rikitea,PF,-23.1203,-134.9692,77.02,61,0,8.46,clear sky
22,Kapaa,US,22.0752,-159.319,73.4,73,90,21.85,moderate rain
23,Denpasar,ID,-8.65,115.2167,80.6,89,20,4.61,few clouds
24,Georgetown,MY,5.4112,100.3354,79.0,94,20,2.3,few clouds
25,Hilo,US,19.7297,-155.09,78.8,47,40,12.66,scattered clouds
26,Muswellbrook,AU,-32.2667,150.9,66.47,81,99,4.65,overcast clouds
27,Kijang,KR,35.2442,129.2139,59.0,55,0,1.14,clear sky
28,Hasaki,JP,35.7333,140.8333,55.4,87,40,4.61,scattered clouds
29,Taoudenni,ML,22.6783,-3.9836,84.07,15,3,9.35,clear sky
30,Cape Town,ZA,-33.9258,18.4232,63.0,94,0,11.5,clear sky
31,Shimoda,JP,34.6667,138.95,57.2,72,40,17.27,scattered clouds
32,Punta Arenas,CL,-53.15,-70.9167,50.0,71,0,13.8,clear sky
33,Jalu,LY,29.0331,21.5482,63.37,31,13,9.44,few clouds
34,Viseu,PT,40.661,-7.9097,53.01,84,98,3.83,overcast clouds
35,Ancud,CL,-41.8697,-73.8203,55.0,88,96,13.0,overcast clouds
36,Yinchuan,CN,38.4681,106.2731,51.96,42,99,4.92,overcast clouds
37,Busselton,AU,-33.65,115.3333,61.0,86,47,1.01,scattered clouds
38,Roma,US,43.2128,-75.4557,62.6,39,1,3.44,clear sky
39,Kirensk,RU,57.7853,108.1119,34.39,99,100,1.9,overcast clouds
40,Lebu,CL,-37.6167,-73.65,55.33,90,0,3.49,clear sky
41,Cidreira,BR,-30.1811,-50.2056,74.1,74,2,21.68,clear sky
42,Bengkulu,ID,-3.8004,102.2655,75.06,86,89,3.91,overcast clouds
43,Albany,US,42.6001,-73.9662,59.0,55,20,6.91,few clouds
44,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,75,8.05,light rain
45,Mantua,IT,45.1667,10.7833,35.01,59,0,3.0,clear sky
46,Aleppo,SY,36.25,37.5,62.96,45,99,5.17,overcast clouds
47,Kavieng,PG,-2.5744,150.7967,78.01,88,99,27.13,heavy intensity rain
48,East London,ZA,-33.0153,27.9116,66.45,79,57,9.89,broken clouds
49,Kodiak,US,57.79,-152.4072,37.4,70,90,10.36,light snow
50,Flinders,AU,-34.5833,150.8552,75.99,74,28,1.99,scattered clouds
51,Yellowknife,CA,62.456,-114.3525,19.4,79,90,10.36,snow
52,Soyo,AO,-6.1349,12.3689,80.02,86,96,5.12,overcast clouds
53,Martapura,ID,-3.4167,114.85,78.8,89,40,6.91,scattered clouds
54,Ostrovnoy,RU,68.0531,39.5131,30.11,86,84,11.9,broken clouds
55,Noumea,NC,-22.2763,166.4572,87.01,57,75,5.75,broken clouds
56,Sabha,LY,27.0377,14.4283,75.97,23,2,17.67,clear sky
57,Kaitangata,NZ,-46.2817,169.8464,62.01,70,54,8.99,broken clouds
58,Areia Branca,BR,-4.9561,-37.1369,82.26,71,100,19.55,overcast clouds
59,Roald,NO,62.5833,6.1333,32.0,80,90,9.22,light snow
60,Usinsk,RU,65.9939,57.5281,28.26,93,83,6.29,broken clouds
61,Tual,ID,-5.6667,132.75,82.94,71,94,6.98,overcast clouds
62,Klaksvik,FO,62.2266,-6.589,35.6,100,90,23.02,overcast clouds
63,Baykit,RU,61.67,96.37,28.85,95,96,3.27,overcast clouds
64,Belmonte,BR,-15.8631,-38.8828,75.2,83,75,4.61,broken clouds
65,Constitucion,CL,-35.3333,-72.4167,56.07,83,100,8.84,overcast clouds
66,Bluff,NZ,-46.6,168.3333,63.0,68,27,7.0,scattered clouds
67,Tahoua,NE,14.8888,5.2692,84.2,18,0,2.3,clear sky
68,Waddan,LY,29.1614,16.139,68.94,31,63,18.57,broken clouds
69,Kalakamati,BW,-20.5929,27.3121,59.4,60,4,10.58,clear sky
70,Hithadhoo,MV,-0.6,73.0833,82.33,69,67,9.71,broken clouds
71,Butaritari,KI,3.0707,172.7902,81.75,77,15,14.07,few clouds
72,Manoel Urbano,BR,-8.8389,-69.2597,76.89,83,60,1.74,broken clouds
73,Brae,GB,60.3964,-1.353,37.4,75,75,17.27,broken clouds
74,Hobart,AU,-42.8794,147.3294,69.01,55,0,8.05,moderate rain
75,Bandarbeyla,SO,9.4942,50.8122,75.6,64,21,3.67,few clouds
76,Pisco,PE,-13.7,-76.2167,73.0,78,0,19.57,light rain
77,Qaanaaq,GL,77.484,-69.3632,-0.26,67,87,7.25,overcast clouds
78,Taitung,TW,22.7583,121.1444,71.6,73,75,3.44,broken clouds
79,Peniche,PT,39.3558,-9.3811,55.99,83,5,1.01,clear sky
80,Jamestown,US,42.097,-79.2353,64.4,55,1,5.75,clear sky
81,Kutum,SD,14.2,24.6667,74.07,8,61,11.07,broken clouds
82,Harper,LR,4.375,-7.7169,80.1,85,31,3.78,light rain
83,Sao Filipe,CV,14.8961,-24.4956,75.22,66,29,10.69,scattered clouds
84,Batticaloa,LK,7.7102,81.6924,76.19,86,91,5.86,overcast clouds
85,Hervey Bay,AU,-25.2986,152.8535,79.0,68,0,5.01,clear sky
86,Anadyr,RU,64.75,177.4833,-9.0,77,0,6.71,clear sky
87,Nanortalik,GL,60.1432,-45.2371,35.47,86,54,4.05,broken clouds
88,Bambous Virieux,MU,-20.3428,57.7575,80.01,88,75,12.66,light rain
89,Ribeira Grande,PT,38.5167,-28.7,60.13,89,46,21.03,scattered clouds
90,Broken Hill,AU,-31.95,141.4333,77.0,22,0,2.3,clear sky
91,Chokurdakh,RU,70.6333,147.9167,-1.3,85,100,2.64,overcast clouds
92,Sabang,ID,5.8933,95.3214,82.17,74,90,10.58,overcast clouds
93,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,82,75,18.41,broken clouds
94,Rocha,UY,-34.4833,-54.3333,67.53,90,4,11.3,clear sky
95,Porto Walter,BR,-8.2686,-72.7439,74.59,98,100,2.93,overcast clouds
96,Tiksi,RU,71.6872,128.8694,-3.23,91,100,3.49,overcast clouds
97,Rabo De Peixe,PT,37.8,-25.5833,60.8,82,75,18.41,broken clouds
98,Fortuna,US,40.5982,-124.1573,53.01,71,90,11.5,overcast clouds
99,Belaya Gora,RU,68.5333,146.4167,1.45,92,97,2.93,overcast clouds
100,Kpandu,GH,6.9954,0.2931,79.43,81,39,8.55,scattered clouds
101,New Norfolk,AU,-42.7826,147.0587,66.99,44,98,2.82,light rain
102,Behshahr,IR,36.6923,53.5526,63.59,44,98,5.14,overcast clouds
103,Te Anau,NZ,-45.4167,167.7167,60.01,52,7,1.95,clear sky
104,Port Elizabeth,ZA,-33.918,25.5701,64.4,94,90,6.91,mist
105,Dinguiraye,GN,11.3,-10.7167,79.92,49,96,3.83,overcast clouds
106,Sitka,US,57.0531,-135.33,39.2,60,40,13.8,light snow
107,Shingu,JP,33.7333,135.9833,57.2,58,0,4.61,clear sky
108,Barrow,US,71.2906,-156.7887,-18.4,63,90,11.5,haze
109,Virginia Beach,US,36.8529,-75.978,62.01,55,20,8.05,few clouds
110,Coihaique,CL,-45.5752,-72.0662,51.8,58,75,3.44,broken clouds
111,Telimele,GN,10.9167,-13.3333,75.09,80,86,3.74,overcast clouds
112,Ponta Do Sol,PT,32.6667,-17.1,61.0,76,99,5.01,overcast clouds
113,Isangel,VU,-19.55,169.2667,86.0,70,40,11.5,scattered clouds
114,Longyearbyen,SJ,78.2186,15.6401,23.0,80,75,19.57,light snow
115,Lorengau,PG,-2.0226,147.2712,81.37,83,100,13.87,heavy intensity rain
116,Vaini,TO,-21.2,-175.2,80.6,74,20,9.22,few clouds
117,Kenai,US,60.5544,-151.2583,35.6,59,90,10.36,overcast clouds
118,Upernavik,GL,72.7868,-56.1549,-3.37,92,27,6.67,scattered clouds
119,Mayumba,GA,-3.432,10.6554,78.69,86,81,4.45,broken clouds
120,Ambon,ID,-3.6954,128.1814,84.2,79,20,3.44,few clouds
121,Atuona,PF,-9.8,-139.0333,80.76,70,11,15.68,few clouds
122,San Patricio,US,28.017,-97.5169,80.01,73,75,11.5,broken clouds
123,Tasiilaq,GL,65.6145,-37.6368,15.8,67,6,2.3,clear sky
124,Port Alfred,ZA,-33.5906,26.891,68.14,84,91,10.63,overcast clouds
125,Kurilsk,RU,45.2333,147.8833,31.64,83,100,14.12,overcast clouds
126,Port Hardy,CA,50.6996,-127.4199,42.8,93,75,5.75,moderate rain
127,Loreto,MX,22.2667,-101.9667,80.06,12,2,9.1,clear sky
128,Tilichiki,RU,60.4667,166.1,8.26,80,15,5.59,few clouds
129,Santa Cruz,BO,-17.8,-63.1667,80.6,74,43,8.05,scattered clouds
130,Moerai,PF,-22.4333,-151.3333,78.4,72,100,15.64,overcast clouds
131,Wilmington,US,34.2257,-77.9447,75.2,33,1,12.66,clear sky
132,Namibe,AO,-15.1961,12.1522,78.64,82,70,6.67,broken clouds
133,Cherskiy,RU,68.75,161.3,-2.94,89,98,4.5,overcast clouds
134,Thompson,CA,55.7435,-97.8558,48.2,43,20,8.05,few clouds
135,Kirsanov,RU,52.6549,42.7224,47.77,89,96,16.62,overcast clouds
136,Arraial Do Cabo,BR,-22.9661,-42.0278,69.8,94,20,15.39,few clouds
137,Lagoa,PT,39.05,-27.9833,59.43,91,23,22.17,few clouds
138,Codrington,AU,-38.2667,141.9667,72.72,37,37,11.52,scattered clouds
139,Tuatapere,NZ,-46.1333,167.6833,63.0,68,23,7.0,few clouds
140,Balabac,PH,7.9868,117.0645,81.9,76,100,6.24,light rain
141,Codajas,BR,-3.8367,-62.0569,76.71,88,98,1.39,overcast clouds
142,Vanimo,PG,-2.6741,141.3028,77.74,89,100,4.09,overcast clouds
143,Saldanha,ZA,-33.0117,17.9442,59.0,88,44,4.61,scattered clouds
144,Touros,BR,-5.1989,-35.4608,78.8,89,20,5.75,few clouds
145,Redcliffe,AU,-27.2307,153.0973,78.01,69,20,14.97,few clouds
146,Mar Del Plata,AR,-38.0023,-57.5575,71.6,83,30,9.22,scattered clouds
147,Carnarvon,AU,-24.8667,113.6333,77.0,69,14,21.85,few clouds
148,Iqaluit,CA,63.7506,-68.5145,33.8,93,90,28.77,snow
149,Caravelas,BR,-17.7125,-39.2481,73.47,87,99,11.68,light rain
150,Half Moon Bay,US,37.4636,-122.4286,59.0,76,90,13.8,haze
151,Darnah,LY,32.767,22.6367,59.43,54,68,5.59,broken clouds
152,Aklavik,CA,68.2191,-135.0107,8.6,52,1,4.61,clear sky
153,Bwanga,TZ,-3.0308,31.7601,62.65,97,100,2.91,moderate rain
154,Hami,CN,42.8,93.45,57.79,21,98,10.45,overcast clouds
155,Camocim,BR,-2.9022,-40.8411,77.5,88,95,10.13,overcast clouds
156,Taseyevo,RU,57.2169,94.8978,31.5,92,95,4.14,overcast clouds
157,Popondetta,PG,-8.7537,148.2534,85.87,62,100,3.6,light rain
158,Lazaro Cardenas,MX,17.9583,-102.2,81.28,53,0,12.41,clear sky
159,Altoona,US,40.5187,-78.3947,66.0,61,92,0.31,overcast clouds
160,Thinadhoo,MV,0.5333,72.9333,82.11,70,86,9.91,overcast clouds
161,Alice,US,27.7523,-98.0697,87.8,48,1,10.36,clear sky
162,Altamira,BR,-3.2033,-52.2064,76.93,82,67,0.54,broken clouds
163,Yar-Sale,RU,66.8333,70.8333,0.91,100,99,3.31,overcast clouds
164,Airai,TL,-8.9266,125.4092,67.01,79,72,1.52,broken clouds
165,Provideniya,RU,64.3833,-173.3,5.0,66,0,6.71,clear sky
166,Buala,SB,-8.145,159.5921,82.38,74,99,8.14,moderate rain
167,Maltahohe,NA,-24.8333,16.9833,67.96,27,0,3.67,clear sky
168,Pevek,RU,69.7008,170.3133,-14.82,94,93,4.29,overcast clouds
169,Hopkinsville,US,36.8656,-87.4886,77.0,38,1,13.8,clear sky
170,Komsomolskiy,UZ,40.4272,71.7189,46.4,66,8,6.91,clear sky
171,Lavrentiya,RU,65.5833,-171.0,-0.74,76,47,6.46,scattered clouds
172,Faanui,PF,-16.4833,-151.75,81.55,66,77,12.01,broken clouds
173,Labuhan,ID,-6.8844,112.2051,79.79,84,99,10.4,overcast clouds
174,Rapid Valley,US,44.0625,-103.1463,55.99,30,1,17.27,clear sky
175,Ryotsu,JP,38.0833,138.4333,50.0,53,20,6.91,few clouds
176,Dikson,RU,73.5069,80.5464,8.11,86,100,5.17,overcast clouds
177,Nosy Varika,MG,-20.5833,48.5333,72.27,87,96,6.62,light rain
178,Pinar Del Rio,CU,22.4175,-83.6981,76.6,62,80,5.37,broken clouds
179,Port-Gentil,GA,-0.7193,8.7815,82.4,89,40,10.36,light rain
180,Long,TH,18.0761,99.8326,80.01,88,20,2.3,few clouds
181,Banjarmasin,ID,-3.3244,114.591,78.8,89,40,6.91,scattered clouds
182,Cururupu,BR,-1.8283,-44.8683,77.59,86,76,2.98,broken clouds
183,Kharan,PK,28.5833,65.4167,68.47,11,0,6.11,clear sky
184,Beringovskiy,RU,63.05,179.3167,3.25,85,88,9.1,overcast clouds
185,Nishihara,JP,26.1842,127.7558,71.6,60,20,11.5,few clouds
186,Novobirilyussy,RU,56.9514,90.6661,31.41,96,100,6.93,light snow
187,Izhma,RU,65.0083,53.9113,33.96,89,100,5.64,overcast clouds
188,Bose,IT,45.4612,8.0137,39.0,40,0,1.01,clear sky
189,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,12.66,scattered clouds
190,Ishinomaki,JP,38.4167,141.3,53.6,28,20,3.44,few clouds
191,Pochutla,MX,15.7432,-96.4661,89.01,48,73,5.99,broken clouds
192,Kargil,IN,34.5667,76.1,20.66,73,98,3.11,overcast clouds
193,Oktyabrskiy,RU,54.4815,53.471,33.35,99,100,3.18,overcast clouds
194,Koumac,NC,-20.5667,164.2833,83.59,59,78,6.87,broken clouds
195,Souillac,MU,-20.5167,57.5167,77.0,88,75,12.66,light rain
196,Bocas Del Toro,PA,9.3333,-82.25,68.0,80,100,3.0,overcast clouds
197,Norman Wells,CA,65.282,-126.8329,10.4,56,20,10.36,few clouds
198,Vieques,PR,18.425,-65.8329,78.8,69,40,11.5,scattered clouds
199,Mehamn,NO,71.0357,27.8492,27.03,83,51,14.72,broken clouds
200,Ugoofaaru,MV,5.6667,73.0,82.24,73,57,8.5,broken clouds
201,Queanbeyan,AU,-35.35,149.2333,66.0,72,17,5.75,few clouds
202,Port Blair,IN,11.6667,92.75,80.26,74,18,1.03,few clouds
203,Glace Bay,CA,46.1969,-59.957,43.0,100,90,12.66,light intensity drizzle
204,Hamilton,US,39.1834,-84.5333,75.2,46,40,4.61,scattered clouds
205,Santona,ES,43.4439,-3.4576,46.0,70,0,4.61,clear sky
206,Waingapu,ID,-9.6567,120.2641,79.92,80,70,0.54,broken clouds
207,Kabinda,CD,-6.1333,24.4833,65.86,96,100,3.58,overcast clouds
208,Dubai,AE,25.2582,55.3047,71.6,83,0,3.44,clear sky
209,Ipixuna,BR,-1.7625,-48.8043,78.8,89,40,5.75,scattered clouds
210,Hermanus,ZA,-34.4187,19.2345,60.01,90,23,1.99,few clouds
211,Narsaq,GL,60.9167,-46.05,39.2,56,40,5.75,scattered clouds
212,Zlotoryja,PL,51.1264,15.9198,30.99,86,57,17.07,broken clouds
213,High Level,CA,58.5169,-117.136,28.4,93,90,12.66,light snow
214,Indramayu,ID,-6.3264,108.32,80.13,76,98,11.23,overcast clouds
215,Vanino,RU,49.0869,140.2543,29.64,95,100,11.3,snow
216,Severo-Kurilsk,RU,50.6789,156.125,31.6,89,100,48.99,overcast clouds
217,Katsuura,JP,35.1333,140.3,57.99,66,75,5.75,broken clouds
218,West Bay,KY,19.3667,-81.4167,79.0,78,40,5.75,scattered clouds
219,Trogir,HR,43.5125,16.2517,39.2,48,0,6.91,clear sky
220,Vermilion,US,40.1667,-87.7506,75.2,43,90,14.97,overcast clouds
221,Union,US,40.6334,-74.2663,63.0,39,1,6.24,clear sky
222,Nikolskoye,RU,59.7035,30.7861,30.0,93,55,2.26,mist
223,Ponta Delgada,PT,37.7333,-25.6667,60.8,82,75,18.41,broken clouds
224,Husavik,IS,66.0449,-17.3389,23.0,86,90,19.57,light snow
225,Castro,BR,-24.7911,-50.0119,58.6,92,34,9.17,scattered clouds
226,Monte Santo,BR,-10.4378,-39.3328,74.34,72,81,10.76,broken clouds
227,Ilave,PE,-16.0833,-69.6667,45.01,75,95,2.3,overcast clouds
228,Kautokeino,NO,69.0125,23.0412,21.79,93,100,6.82,overcast clouds
229,Cairns,AU,-16.9167,145.7667,86.0,66,92,8.05,overcast clouds
230,Salto,UY,-31.3833,-57.9667,77.0,74,0,3.0,clear sky
231,Krasnoselkup,RU,65.7,82.4667,27.21,96,100,6.38,overcast clouds
232,Grand Gaube,MU,-20.0064,57.6608,80.01,78,100,5.99,light rain
233,Yulara,AU,-25.2406,130.9889,77.0,29,2,9.22,clear sky
234,Paamiut,GL,61.994,-49.6678,29.91,91,100,7.94,overcast clouds
235,Khatanga,RU,71.9667,102.5,-11.78,99,99,2.21,overcast clouds
236,Ilebo,CD,-4.3167,20.5833,71.19,96,100,2.13,overcast clouds
237,Masuda,JP,34.6667,131.85,57.2,51,0,6.91,clear sky
238,Fengcheng,CN,40.4536,124.0717,48.42,22,0,4.09,clear sky
239,Beloha,MG,-25.1667,45.05,70.54,86,0,12.53,clear sky
240,Hambantota,LK,6.1241,81.1185,73.4,100,20,2.3,few clouds
241,Ivanivka,UA,46.7208,34.553,40.37,73,94,12.91,overcast clouds
242,Concarneau,FR,47.875,-3.9225,41.0,87,20,4.61,few clouds
